path,question,answer
00/00020b5a.jpg,What is the main color of the shoe,white
00/00020b5a.jpg,What is the shape of the shoe's toe,pointed
00/00020b5a.jpg,What type of heel does the shoe have,kitten
00/00020b5a.jpg,What is the style of the shoe,court
00/00020b5a.jpg,What material appears to be used for the shoe's upper,leather
00/0004bef1.jpg,What is the main color of the bed,brown
00/0004bef1.jpg,What is the type of bed shown,single
00/0004bef1.jpg,What material is the bed frame made of,wood
00/0004bef1.jpg,What is the shape of the headboard,curved
00/0004bef1.jpg,How many legs does the bed have,four
00/0004bfb3.jpg,What is the primary metal color of the bracelet,gold
00/0004bfb3.jpg,What is the shape of the cubic zirconia stones,square
00/0004bfb3.jpg,What is the overall style of the bracelet,tennis
00/0004bfb3.jpg,What is the clasp type visible in the image,clasp
00/0004bfb3.jpg,What is the main color of the stones,white
00/00078fb9.jpg,What is the main color of the microwave,black
00/00078fb9.jpg,What is the color of the handle,orange
00/00078fb9.jpg,What is the shape of the microwave,rectangular
00/00078fb9.jpg,What type of appliance is shown,microwave
00/00078fb9.jpg,How many control panels are visible,one
00/000de7e4.jpg,What is the main color of the shoe,black
00/000de7e4.jpg,What material is the heel counter,leather
00/000de7e4.jpg,What color is the midsole,white
00/000de7e4.jpg,What is the type of laces,elastic
00/000de7e4.jpg,What is the style of the shoe,sneaker
00/000e461b.jpg,What is the main color of the bottom fabric,blue
00/000e461b.jpg,What is the primary material of the cage bars,metal
00/000e461b.jpg,How many sections does the cage have,two
00/000e461b.jpg,What is the shape of the cage,rectangular
00/000e461b.jpg,What is the material of the bottom tray,plastic
00/000f953e.jpg,What is the main color of the shoe,navy
00/000f953e.jpg,What is the color of the sole,white
00/000f953e.jpg,What type of laces does the shoe have,fabric
00/000f953e.jpg,What is the style of the shoe,running
00/000f953e.jpg,What material appears to be the upper,textile
00/00109b27.jpg,What is the main color of the bag,black
00/00109b27.jpg,What is the material of the bag,plastic
00/00109b27.jpg,What is the shape of the bag,rectangular
00/00109b27.jpg,How many bags are shown,one
00/00109b27.jpg,Is the bag tied,yes
00/001ba462.jpg,What is the main color of the sandal,black
00/001ba462.jpg,What is the type of heel on the sandal,stiletto
00/001ba462.jpg,What material appears to be used for the straps,satin
00/001ba462.jpg,What embellishments are on the straps,rhinestones
00/001ba462.jpg,What is the toe style of the sandal,open
00/0028bbb2.jpg,What is the main color of the bag,brown
00/0028bbb2.jpg,What is the shape of the bag,rectangular
00/0028bbb2.jpg,How many zippers are visible on the bag,two
00/0028bbb2.jpg,What material appears to be used for the interior mesh pocket,mesh
00/0028bbb2.jpg,What is the type of handle on the bag,top
00/0028c871.jpg,What is the main color of the mat,brown
00/0028c871.jpg,What is the shape of the mat,rectangle
00/0028c871.jpg,Does the mat appear to have a pattern,no
00/0028c871.jpg,What is the apparent texture of the mat,plush
00/0028c871.jpg,Is the mat fringed,no
00/002e98af.jpg,What is the main color of the ottoman,pearl
00/002e98af.jpg,What is the shape of the ottoman,square
00/002e98af.jpg,What is the primary material of the ottoman's legs,wood
00/002e98af.jpg,How many legs does the ottoman have,four
00/002e98af.jpg,What is the general style of the ottoman,modern
00/0031afbc.jpg,What is the main color of the bird feeder,black
00/0031afbc.jpg,What is the shape of the top cover,conical
00/0031afbc.jpg,What is the material of the main seed container,glass
00/0031afbc.jpg,What is the shape of the seed container,cylindrical
00/0031afbc.jpg,What is the type of bird feed shown,mixed
00/0034be06.jpg,What is the shape of the earrings,balls
00/0034be06.jpg,What is the main color of the earrings,gold
00/0034be06.jpg,How many earrings are shown,two
00/0034be06.jpg,What is the apparent surface of the earrings,polished
00/0034be06.jpg,What type of earring is shown,studs
00/00350f57.jpg,What is the main color of the backpack,blue
00/00350f57.jpg,What is the primary material of the backpack,fabric
00/00350f57.jpg,How many main zippered compartments are visible on the front,two
00/00350f57.jpg,What type of handle is at the top,padded
00/00350f57.jpg,What color are the accents on the backpack,black
00/0036d764.jpg,What shape is the pendant,california
00/0036d764.jpg,What is the primary metal color,gold
00/0036d764.jpg,What is the style of the chain,cable
00/0036d764.jpg,How many chains are shown,one
00/0036d764.jpg,What is the pendant's design,state
00/003fe22d.jpg,What is the main color of the sandal,mushroom
00/003fe22d.jpg,What shape is embroidered on the sandal,stars
00/003fe22d.jpg,What type of shoe is shown,sandals
00/003fe22d.jpg,What is the material of the sandal,suede
00/003fe22d.jpg,How many straps does the sandal have,one
00/00426198.jpg,What is the main color of the shoe,brown
00/00426198.jpg,What type of closure does the shoe have,laces
00/00426198.jpg,What is the apparent material of the shoe,suede
00/00426198.jpg,What is the shoe style,derbys
00/00426198.jpg,What is the sole's apparent material,leather
00/005246c7.jpg,What is the main color of the keyboard,black
00/005246c7.jpg,What is the layout of the keyboard,qwerty
00/005246c7.jpg,What type of keyboard is shown,wireless
00/005246c7.jpg,What is the shape of the keyboard,rectangular
00/005246c7.jpg,How many keys does the keyboard have,many
00/006e72c3.jpg,What is the shape of the central stone,round
00/006e72c3.jpg,What is the color of the metal,yellow
00/006e72c3.jpg,What is the primary color of the large stone,white
00/006e72c3.jpg,What is the type of necklace shown,pendant
00/006e72c3.jpg,What is the apparent length of the necklace,long
00/00866d84.jpg,What is the shape of the central stone in each earring,square
00/00866d84.jpg,What is the main metal color of the earrings,silver
00/00866d84.jpg,What is the setting style of the central stone,halo
00/00866d84.jpg,What is the type of earring shown,studs
00/00866d84.jpg,How many earrings are in the set,two
