image_name,question,answer
00020b5a.jpg,What is the main color of the shoe,white
00020b5a.jpg,What is the shape of the shoe's toe,pointed
00020b5a.jpg,What is the style of the shoe,court
00020b5a.jpg,What material appears to be used for the shoe's upper,leather
00020b5a.jpg,What type of heel does the shoe have,kitten
0004bef1.jpg,How many legs does the bed have,four
0004bef1.jpg,What is the main color of the bed,brown
0004bef1.jpg,What is the shape of the headboard,curved
0004bef1.jpg,What is the type of bed shown,single
0004bef1.jpg,What material is the bed frame made of,wood
0004bfb3.jpg,What is the clasp type visible in the image,clasp
0004bfb3.jpg,What is the main color of the stones,white
0004bfb3.jpg,What is the overall style of the bracelet,tennis
0004bfb3.jpg,What is the primary metal color of the bracelet,gold
0004bfb3.jpg,What is the shape of the cubic zirconia stones,square
00078fb9.jpg,How many control panels are visible,one
00078fb9.jpg,What is the color of the handle,orange
00078fb9.jpg,What is the main color of the microwave,black
00078fb9.jpg,What is the shape of the microwave,rectangular
00078fb9.jpg,What type of appliance is shown,microwave
000de7e4.jpg,What color is the midsole,white
000de7e4.jpg,What is the main color of the shoe,black
000de7e4.jpg,What is the style of the shoe,sneaker
000de7e4.jpg,What is the type of laces,elastic
000de7e4.jpg,What material is the heel counter,leather
000e461b.jpg,How many sections does the cage have,two
000e461b.jpg,What is the main color of the bottom fabric,blue
000e461b.jpg,What is the material of the bottom tray,plastic
000e461b.jpg,What is the primary material of the cage bars,metal
000e461b.jpg,What is the shape of the cage,rectangular
000f953e.jpg,What is the color of the sole,white
000f953e.jpg,What is the main color of the shoe,navy
000f953e.jpg,What is the style of the shoe,running
000f953e.jpg,What material appears to be the upper,textile
000f953e.jpg,What type of laces does the shoe have,fabric
00109b27.jpg,How many bags are shown,one
00109b27.jpg,Is the bag tied,yes
00109b27.jpg,What is the main color of the bag,black
00109b27.jpg,What is the material of the bag,plastic
00109b27.jpg,What is the shape of the bag,rectangular
001ba462.jpg,What embellishments are on the straps,rhinestones
001ba462.jpg,What is the main color of the sandal,black
001ba462.jpg,What is the toe style of the sandal,open
001ba462.jpg,What is the type of heel on the sandal,stiletto
001ba462.jpg,What material appears to be used for the straps,satin
0028bbb2.jpg,How many zippers are visible on the bag,two
0028bbb2.jpg,What is the main color of the bag,brown
0028bbb2.jpg,What is the shape of the bag,rectangular
0028bbb2.jpg,What is the type of handle on the bag,top
0028bbb2.jpg,What material appears to be used for the interior mesh pocket,mesh
0028c871.jpg,Does the mat appear to have a pattern,no
0028c871.jpg,Is the mat fringed,no
0028c871.jpg,What is the apparent texture of the mat,plush
0028c871.jpg,What is the main color of the mat,brown
0028c871.jpg,What is the shape of the mat,rectangle
002e98af.jpg,How many legs does the ottoman have,four
002e98af.jpg,What is the general style of the ottoman,modern
002e98af.jpg,What is the main color of the ottoman,pearl
002e98af.jpg,What is the primary material of the ottoman's legs,wood
002e98af.jpg,What is the shape of the ottoman,square
0031afbc.jpg,What is the main color of the bird feeder,black
0031afbc.jpg,What is the material of the main seed container,glass
0031afbc.jpg,What is the shape of the seed container,cylindrical
0031afbc.jpg,What is the shape of the top cover,conical
0031afbc.jpg,What is the type of bird feed shown,mixed
0034be06.jpg,How many earrings are shown,two
0034be06.jpg,What is the apparent surface of the earrings,polished
0034be06.jpg,What is the main color of the earrings,gold
0034be06.jpg,What is the shape of the earrings,balls
0034be06.jpg,What type of earring is shown,studs
00350f57.jpg,How many main zippered compartments are visible on the front,two
00350f57.jpg,What color are the accents on the backpack,black
00350f57.jpg,What is the main color of the backpack,blue
00350f57.jpg,What is the primary material of the backpack,fabric
00350f57.jpg,What type of handle is at the top,padded
0036d764.jpg,How many chains are shown,one
0036d764.jpg,What is the pendant's design,state
0036d764.jpg,What is the primary metal color,gold
0036d764.jpg,What is the style of the chain,cable
0036d764.jpg,What shape is the pendant,california
003fe22d.jpg,How many straps does the sandal have,one
003fe22d.jpg,What is the main color of the sandal,mushroom
003fe22d.jpg,What is the material of the sandal,suede
003fe22d.jpg,What shape is embroidered on the sandal,stars
003fe22d.jpg,What type of shoe is shown,sandals
00426198.jpg,What is the apparent material of the shoe,suede
00426198.jpg,What is the main color of the shoe,brown
00426198.jpg,What is the shoe style,derbys
00426198.jpg,What is the sole's apparent material,leather
00426198.jpg,What type of closure does the shoe have,laces
005246c7.jpg,How many keys does the keyboard have,many
005246c7.jpg,What is the layout of the keyboard,qwerty
005246c7.jpg,What is the main color of the keyboard,black
005246c7.jpg,What is the shape of the keyboard,rectangular
005246c7.jpg,What type of keyboard is shown,wireless
006e72c3.jpg,What is the apparent length of the necklace,long
006e72c3.jpg,What is the color of the metal,yellow
006e72c3.jpg,What is the primary color of the large stone,white
006e72c3.jpg,What is the shape of the central stone,round
006e72c3.jpg,What is the type of necklace shown,pendant
00866d84.jpg,How many earrings are in the set,two
00866d84.jpg,What is the main metal color of the earrings,silver
00866d84.jpg,What is the setting style of the central stone,halo
00866d84.jpg,What is the shape of the central stone in each earring,square
00866d84.jpg,What is the type of earring shown,studs
00880fde.jpg,Does the box have a lid,yes
00880fde.jpg,How many boxes are shown in the image,one
00880fde.jpg,What is the main color of the storage box,blue
00880fde.jpg,What is the primary material of the box,fabric
00880fde.jpg,What shape are the patterns on the box,triangles
00888584.jpg,How many USB-A ports are visible,four
00888584.jpg,Is the power cord visible,yes
00888584.jpg,What is the main color of the charger,white
00888584.jpg,What is the shape of the charger,rectangular
00888584.jpg,What type of USB port is present besides USB-A,usb
0089c6c4.jpg,What detail is present on the front of the bag,tassel
0089c6c4.jpg,What is the main color of the handbag,pink
0089c6c4.jpg,What is the primary style of the handbag,tote
0089c6c4.jpg,What kind of strap is prominently displayed,shoulder
0089c6c4.jpg,What type of closure does the handbag have,zip
008d8905.jpg,How many bulbs are shown,six
008d8905.jpg,What is the base type of the bulb,screw
008d8905.jpg,What is the main color of the bulbs,clear
008d8905.jpg,What is the shape of the bulbs,candle
008d8905.jpg,What is the visible filament type,linear
008f5b3c.jpg,How many shelves does the cart have,three
008f5b3c.jpg,What are the cart's base supports,wheels
008f5b3c.jpg,What is the cart equipped with at the side,hooks
008f5b3c.jpg,What is the main color of the top surface,wood
008f5b3c.jpg,What material are the shelves made of,chrome
0095a196.jpg,How many straps are visible on the album,one
0095a196.jpg,What is the closure type of the album,strap
0095a196.jpg,What is the main color of the wallet album,pink
0095a196.jpg,What is the primary material of the cover,leatherette
0095a196.jpg,What shape is the album,rectangular
0098afed.jpg,How many stools are integrated with the coffee table,four
0098afed.jpg,What is the apparent material of the stools' upholstery,fabric
0098afed.jpg,What is the general style of the furniture,modern
0098afed.jpg,What is the main shape of the coffee table,square
0098afed.jpg,What is the primary color of the coffee table,brown
009c03fa.jpg,What is the main shape of the lampshade,cylinder
009c03fa.jpg,What is the overall style of the lamp,modern
009c03fa.jpg,What is the pattern on the lamp base,geometric
009c03fa.jpg,What is the primary color of the lamp base,taupe
009c03fa.jpg,What is the texture of the lampshade,fabric
00a69c51.jpg,How many control knobs are visible on the humidifier,one
00a69c51.jpg,What is the general style of the humidifier,modern
00a69c51.jpg,What is the main color of the humidifier,black
00a69c51.jpg,What is the shape of the humidifier's water tank,round
00a69c51.jpg,What material appears to be used for the water tank,glass
00a7cd4c.jpg,How many shams are shown,one
00a7cd4c.jpg,What is the main color of the sham's body,white
00a7cd4c.jpg,What is the main color of the sham's border,loden
00a7cd4c.jpg,What is the material of the sham,cotton
00a7cd4c.jpg,What is the shape of the sham,rectangular
00af1462.jpg,What animal is depicted on the case,peacock
00af1462.jpg,What is the apparent texture of the case,hard
00af1462.jpg,What is the design style of the peacock,line
00af1462.jpg,What is the main color of the case,black
00af1462.jpg,What is the shape of the case,rectangular
00af9316.jpg,How many cups are shown in the image,one
00af9316.jpg,Is the cup design simple or complex,simple
00af9316.jpg,What is the apparent material of the cup,paper
00af9316.jpg,What is the main color of the cup,white
00af9316.jpg,What is the shape of the cup,cylindrical
00b02bf3.jpg,What is the back style of the chair,high
00b02bf3.jpg,What is the main color of the chair,black
00b02bf3.jpg,What is the overall style of the chair,executive
00b02bf3.jpg,What is the type of base the chair has,wheel
